iter	Logloss
0	0.6928470231
1	0.6924501284
2	0.6921595169
3	0.6918938359
4	0.6916224179
5	0.6914047401
6	0.6911980643
7	0.6908147249
8	0.6905391459
9	0.6902737931
10	0.6900117615
11	0.6897151734
12	0.6894012827
13	0.6889967771
14	0.6887478394
15	0.6884857109
16	0.6883006359
17	0.688058646
18	0.6878131958
19	0.6875101463
20	0.68739051
21	0.6871605025
22	0.6868648331
23	0.6865643706
24	0.6862132961
25	0.685770054
26	0.6854044886
27	0.6851083274
28	0.6847000377
29	0.6843414919
30	0.6841414354
31	0.6838623222
32	0.6834641993
33	0.6832232521
34	0.6830146665
35	0.6826814373
36	0.6825594495
37	0.682288351
38	0.6821358203
39	0.6819587151
40	0.6817614767
41	0.6815079291
42	0.6813001239
43	0.6809952943
44	0.68064988
45	0.6804766699
46	0.6802373515
47	0.6799839449
48	0.6797862611
49	0.679546228
50	0.6792941279
51	0.6789953585
52	0.6786847844
53	0.6784362201
54	0.6779210666
55	0.6776084924
56	0.6773506912
57	0.6771156436
58	0.6768654126
59	0.6765766331
60	0.6764070686
61	0.6761814717
62	0.6758827817
63	0.6754818415
64	0.6752260033
65	0.6749997154
66	0.6747477398
67	0.6745784397
68	0.6742785113
69	0.6740605181
70	0.6739273072
71	0.6737224645
72	0.6735331499
73	0.6732991552
74	0.6731140222
75	0.6728998911
76	0.6726938178
77	0.6725343993
78	0.6723426187
79	0.6722151015
80	0.6720718245
81	0.6718745999
82	0.6714790723
83	0.6712815691
84	0.671065937
85	0.6708279178
86	0.6706119051
87	0.6703350313
88	0.6700884532
89	0.6699197337
90	0.6697311206
91	0.6695144349
92	0.6691726629
93	0.6689766044
94	0.6686832678
95	0.6684520957
96	0.6682096334
97	0.668053256
98	0.6677633945
99	0.6675820698
100	0.6674582023
101	0.6671411318
102	0.6670497852
103	0.6668235432
104	0.666581855
105	0.6662297091
106	0.6658937079
107	0.6656123695
108	0.66538473
109	0.6652328778
110	0.6650754383
111	0.664787331
112	0.6646604815
113	0.6644114109
114	0.664274408
115	0.664001043
116	0.6638105735
117	0.6635702861
118	0.6634068248
119	0.663097437
120	0.6628811283
121	0.6626770989
122	0.6625080912
123	0.6623684657
124	0.6621282057
125	0.6617634753
126	0.6616347763
127	0.6615005849
128	0.6613328544
129	0.6610054778
130	0.6606564125
131	0.660468494
132	0.660247712
133	0.6600753139
134	0.6598859593
135	0.6596682462
136	0.6594786686
137	0.6593213449
138	0.6591082721
139	0.6588056576
140	0.6587968109
141	0.6585390838
142	0.6583512607
143	0.6582327476
144	0.6580940185
145	0.6577768832
146	0.6575892693
147	0.6573425837
148	0.6572229836
149	0.6569544534
150	0.6566326828
151	0.6564144287
152	0.656275884
153	0.6561017909
154	0.6559521663
155	0.6558311963
156	0.6556980595
157	0.6555383625
158	0.6553670636
159	0.6551965924
160	0.6550946977
161	0.6548861033
162	0.6546317515
163	0.6541653529
164	0.6539937108
165	0.6537422983
166	0.6536031043
167	0.6534042326
168	0.6531658816
169	0.6527535741
170	0.6524378579
171	0.6521648735
172	0.6519113328
173	0.6515226339
174	0.6512861689
175	0.650923748
176	0.6507177256
177	0.6505069103
178	0.6502191136
179	0.6500221343
180	0.6498069985
181	0.6496454737
182	0.6495313225
183	0.6494175686
184	0.6492386461
185	0.6491009386
186	0.6488550751
187	0.6487246558
188	0.6484688217
189	0.6483162007
190	0.6481320238
191	0.647893755
192	0.6477214345
193	0.6474717573
194	0.6472525196
195	0.6470177861
196	0.6467948403
197	0.6465447308
198	0.6461979435
199	0.6457843832
200	0.6456184353
201	0.6454805533
202	0.6454143536
203	0.6451328678
204	0.6449053706
205	0.6447894679
206	0.6446146792
207	0.6444893795
208	0.6443547504
209	0.6441942763
210	0.6438312948
211	0.6436232731
212	0.6435132079
213	0.6433161831
214	0.6431823165
215	0.6430505284
216	0.6428071463
217	0.6425112028
218	0.64235179
219	0.6420038735
220	0.6419011849
221	0.6416842113
222	0.641466103
223	0.6412276445
224	0.6409878208
225	0.6407820541
226	0.6405462313
227	0.6404118933
228	0.6402121538
229	0.6399742467
230	0.6397446105
231	0.6395905939
232	0.6394189177
233	0.6391814866
234	0.6390200964
235	0.6385896252
236	0.6383895358
237	0.6381830784
238	0.637935075
239	0.6377540619
240	0.63752486
241	0.6374305738
242	0.6372718705
243	0.6371743049
244	0.6370286919
245	0.6368612069
246	0.6366470311
247	0.6364658167
248	0.6360920661
249	0.635913149
250	0.6357768813
251	0.635595808
252	0.6353516332
253	0.6352103762
254	0.6349405322
255	0.6346073448
256	0.6343837325
257	0.6342642323
258	0.6341094351
259	0.6339436557
260	0.6337829295
261	0.6335698721
262	0.6334149842
263	0.6330371275
264	0.632810459
265	0.6326490897
266	0.6323675874
267	0.6320863582
268	0.6317608222
269	0.6315560593
270	0.6313244784
271	0.6311945098
272	0.6310652779
273	0.6307681767
274	0.6304690878
275	0.6303260231
276	0.6301413886
277	0.6300039799
278	0.6297905616
279	0.6295055318
280	0.6292852088
281	0.6290520919
282	0.6288541961
283	0.6286411223
284	0.6286021616
285	0.6283298207
286	0.6281760305
287	0.6280211763
288	0.6277932497
289	0.6274889706
290	0.6272732398
291	0.6270156167
292	0.6268146581
293	0.6266218887
294	0.6262799006
295	0.6259751282
296	0.6258529544
297	0.6257540225
298	0.6255999539
299	0.6254346322
300	0.6252624975
301	0.6251168133
302	0.6249520088
303	0.6248503957
304	0.6247469038
305	0.6245859696
306	0.624454093
307	0.6242515954
308	0.6240650072
309	0.6238851466
310	0.6236718619
311	0.6234536233
312	0.6232402518
313	0.6229831563
314	0.6228607598
315	0.6226837635
316	0.6225573054
317	0.6224630911
318	0.6223346362
319	0.6221094354
320	0.6218496519
321	0.621565505
322	0.621482524
323	0.6213385228
324	0.6212042854
325	0.6210536514
326	0.6209179277
327	0.6206992777
328	0.6205634056
329	0.620374093
330	0.6202496334
331	0.6199904135
332	0.6198518536
333	0.6196615148
334	0.6195214915
335	0.6192673205
336	0.6191366919
337	0.6190933374
338	0.6189735759
339	0.6187640589
340	0.6185016793
341	0.6183649292
342	0.6181842628
343	0.6179848223
344	0.6178080322
345	0.6176440972
346	0.6174908554
347	0.6172323435
348	0.6170248395
349	0.6169284405
350	0.6168006734
351	0.6164201337
352	0.6162762478
353	0.6161131228
354	0.615961018
355	0.6157600114
356	0.6155285229
357	0.6153884631
358	0.6152712597
359	0.6150725186
360	0.6149834882
361	0.6148610693
362	0.6147245246
363	0.6144246857
364	0.6143129716
365	0.6141607802
366	0.6139285832
367	0.6137579719
368	0.6135976052
369	0.613351146
370	0.6131841412
371	0.6130346793
372	0.6128850683
373	0.6127540079
374	0.6124888642
375	0.6122719123
376	0.6119922207
377	0.6117306031
378	0.6115658947
379	0.6113440034
380	0.611153314
381	0.6109659263
