iter	Passed	Remaining
0	58	58750
1	61	30588
2	63	21258
3	66	16594
4	69	13761
5	71	11862
6	74	10527
7	77	9551
8	79	8759
9	82	8147
10	84	7620
11	87	7174
12	89	6799
13	92	6496
14	94	6224
15	97	5987
16	100	5786
17	102	5595
18	105	5431
19	107	5280
20	110	5143
21	112	5006
22	115	4894
23	117	4786
24	120	4688
25	122	4599
26	125	4519
27	127	4431
28	130	4371
29	132	4298
30	135	4228
31	137	4167
32	140	4114
33	143	4063
34	145	4004
35	147	3955
36	150	3912
37	153	3875
38	155	3834
39	157	3789
40	160	3750
41	162	3716
42	165	3680
43	167	3647
44	170	3619
45	173	3592
46	175	3565
47	178	3534
48	180	3508
49	183	3495
50	186	3470
51	188	3445
52	191	3420
53	193	3396
54	196	3375
55	198	3350
56	201	3327
57	203	3307
58	206	3288
59	208	3267
60	211	3250
61	213	3235
62	216	3215
63	218	3202
64	221	3191
65	224	3181
66	227	3162
67	229	3150
68	232	3135
69	234	3118
70	237	3103
71	239	3088
72	242	3082
73	245	3068
74	247	3056
75	250	3045
76	252	3031
77	255	3018
78	257	3004
79	260	2990
80	262	2978
81	264	2966
82	267	2959
83	270	2951
84	273	2939
85	275	2929
86	277	2917
87	280	2905
88	282	2895
89	285	2886
90	287	2876
91	290	2868
92	292	2857
93	295	2847
94	297	2836
95	300	2828
96	302	2820
97	305	2812
98	308	2804
99	310	2796
100	313	2790
101	315	2782
102	318	2774
103	321	2767
104	323	2759
105	326	2751
106	328	2743
107	331	2735
108	333	2729
109	336	2724
110	339	2715
111	341	2707
112	344	2700
113	346	2692
114	349	2687
115	352	2683
116	354	2676
117	357	2671
118	359	2665
119	362	2659
120	365	2651
121	367	2645
122	369	2637
123	372	2630
124	374	2624
125	377	2617
126	379	2611
127	382	2605
128	385	2601
129	387	2593
130	389	2586
131	392	2578
132	394	2572
133	397	2567
134	399	2561
135	402	2554
136	404	2549
137	407	2544
138	409	2539
139	412	2533
140	414	2527
141	417	2521
142	419	2515
143	422	2508
144	424	2504
145	427	2499
146	429	2493
147	432	2488
148	434	2482
149	438	2483
150	441	2482
151	444	2479
152	447	2476
153	449	2471
154	453	2474
155	457	2473
156	460	2470
157	462	2465
158	465	2461
159	468	2457
160	470	2451
161	473	2447
162	475	2442
163	478	2437
164	480	2432
165	483	2427
166	485	2422
167	487	2416
168	490	2411
169	492	2405
170	495	2401
171	497	2395
172	500	2390
173	502	2386
174	505	2381
175	507	2376
176	510	2372
177	512	2367
178	515	2363
179	517	2359
180	520	2354
181	522	2349
182	525	2344
183	527	2340
184	530	2335
185	532	2330
186	534	2325
187	537	2320
188	539	2316
189	543	2314
190	545	2310
191	547	2305
192	550	2301
193	552	2297
194	555	2292
195	558	2289
196	560	2285
197	563	2281
198	565	2277
199	568	2272
200	570	2269
201	573	2265
202	575	2261
203	578	2257
204	581	2253
205	583	2250
206	586	2246
207	589	2243
208	591	2239
209	594	2235
210	596	2230
211	598	2226
212	601	2221
213	603	2217
214	606	2213
215	608	2209
216	611	2205
217	613	2201
218	616	2197
219	618	2193
220	621	2189
221	623	2185
222	625	2180
223	628	2176
224	630	2172
225	633	2168
226	635	2165
227	638	2161
228	640	2157
229	643	2154
230	645	2150
231	648	2146
232	650	2142
233	653	2138
234	655	2134
235	658	2131
236	660	2127
237	663	2123
238	665	2119
239	668	2116
240	670	2112
241	673	2109
242	675	2105
243	678	2102
244	680	2098
245	683	2095
246	686	2092
247	688	2088
248	691	2085
249	693	2081
250	696	2078
251	698	2074
252	701	2070
253	703	2066
254	706	2063
255	708	2059
256	711	2056
257	713	2052
258	716	2049
259	718	2045
260	721	2042
261	723	2038
262	726	2035
263	728	2031
264	731	2029
265	733	2025
266	736	2021
267	738	2018
268	741	2014
269	743	2010
270	746	2007
271	748	2003
272	751	2000
273	753	1996
274	755	1992
275	758	1988
276	760	1984
277	762	1981
278	765	1978
279	768	1975
280	770	1972
281	773	1968
282	775	1965
283	778	1962
284	780	1958
285	783	1955
286	785	1952
287	788	1948
288	790	1945
289	793	1942
290	795	1938
291	798	1935
292	800	1931
293	803	1928
294	805	1925
